season,region,ndvi_lag_mean,ndvi_lag_max,ndvi_lag_std,ndvi_lag_cumulative,obs_count_lag,rainfall_lag_total,temp_lag_mean,rainfall_oct,temp_oct,rainfall_nov,temp_nov,rainfall_dec,temp_dec,rainfall_jan,temp_jan,rainfall_feb,temp_feb,rainfall_mar,temp_mar,rainfall_apr,temp_apr,rainfall_may,temp_may,ndvi_oct,ndvi_nov,ndvi_dec,ndvi_jan,ndvi_feb,ndvi_mar,ndvi_apr,ndvi_may,obs_count_oct_dec,obs_count_jan_may
2009,CENTRE,0.504154,0.528103,0.021684,1.512463,5,895.7,21.641,40.38,22.053,102.22,23.863,84.3,24.941,255.0,26.002,292.51,25.452,414.83,25.09,306.99,24.392,185.88,22.75,0.53744,0.515733,0.597398,0.650734,0.732398,0.715011,0.751878,0.734826,5,10
2009,EST,0.46983,0.521371,0.044756,1.409489,5,1014.8,22.335,41.49,22.668,107.38,24.454,91.93,25.497,230.62,26.563,274.03,26.038,464.64,25.632,355.2,24.986,183.36,23.435,0.486945,0.481631,0.585568,0.664296,0.741385,0.754104,0.791908,0.785658,5,10
2009,NORD,0.446375,0.459928,0.014012,1.339124,5,640.6,22.47,34.52,22.794,91.74,24.558,5.93,25.676,173.8,26.69,232.35,26.161,369.87,25.764,203.68,25.109,148.34,23.605,0.513352,0.481936,0.528754,0.645426,0.75729,0.781859,0.812741,0.797256,5,10
2009,OUEST,0.394529,0.410744,0.015612,1.183588,5,856.4,21.292,41.5,21.805,87.77,23.564,119.46,24.71,206.03,25.753,286.53,25.224,347.72,24.971,235.0,24.181,174.32,22.438,0.490202,0.443585,0.499691,0.654089,0.708116,0.771706,0.797458,0.772114,5,10
2009,SUD,0.455916,0.497609,0.037845,1.367749,5,863.7,22.422,41.27,22.815,139.58,24.562,94.65,25.616,204.23,26.698,229.48,26.125,293.66,25.76,280.14,25.052,167.94,23.476,0.499347,0.480614,0.570531,0.648922,0.742139,0.766927,0.788595,0.791332,5,10
2010,CENTRE,0.538874,0.683151,0.096725,2.155497,6,952.2,21.812,141.59,22.08,192.03,23.224,180.67,25.021,396.1,25.509,346.18,25.879,440.25,25.331,192.69,24.529,145.18,23.583,0.50821,0.518457,0.606462,0.694174,0.715478,0.72939,0.756794,0.743068,5,10
2010,EST,0.520031,0.730304,0.141202,2.080123,6,999.0,22.519,140.64,22.717,208.24,23.836,173.73,25.545,411.59,26.043,363.09,26.411,478.73,25.948,215.64,25.144,146.04,24.181,0.478494,0.511388,0.540633,0.646422,0.733567,0.755276,0.778675,0.780946,5,10
2010,NORD,0.551125,0.758007,0.138369,2.204499,6,746.3,22.652,104.27,22.8,172.3,23.949,143.12,25.69,263.9,26.105,248.83,26.508,359.65,26.022,117.87,25.383,107.36,24.367,0.49394,0.53611,0.555012,0.676177,0.750944,0.770906,0.78186,0.784842,5,10
2010,OUEST,0.454337,0.731001,0.189572,1.817348,6,905.8,21.459,146.46,21.779,166.99,22.913,169.72,24.854,352.38,25.219,300.57,25.623,391.37,24.974,154.85,24.378,141.98,23.388,0.389149,0.475164,0.614853,0.737007,0.757205,0.764835,0.765567,0.742949,5,10
2010,SUD,0.515977,0.695898,0.121424,2.063909,6,920.1,22.606,151.61,22.845,177.36,23.906,188.73,25.683,373.67,26.109,306.7,26.473,352.85,26.03,164.64,25.266,134.51,24.308,0.489735,0.523294,0.562915,0.663766,0.750376,0.763797,0.791563,0.778035,5,10
2011,CENTRE,0.490649,0.490649,0.0,0.490649,2,546.4,21.891,32.07,22.495,68.95,23.027,27.86,24.591,397.48,25.154,322.43,25.485,370.55,25.239,155.53,24.46,131.2,22.975,0.52243,0.495356,0.527624,0.588344,0.699186,0.758948,0.771762,0.75765,5,10
2011,EST,0.402784,0.402784,0.0,0.402784,2,582.6,22.596,32.53,23.023,69.85,23.674,26.63,25.109,405.8,25.68,267.09,26.004,437.9,25.761,144.67,25.018,133.54,23.657,0.461542,0.438854,0.476372,0.505223,0.707489,0.754391,0.756312,0.773477,5,10
2011,NORD,0.39799,0.39799,0.0,0.39799,2,428.7,22.715,26.85,23.143,59.88,23.799,21.46,25.176,304.48,25.802,204.1,26.05,315.98,25.902,87.49,25.16,86.98,23.887,0.470074,0.436046,0.468237,0.53754,0.754429,0.801362,0.794677,0.806539,5,10
2011,OUEST,0.344779,0.344779,0.0,0.344779,2,532.3,21.544,32.67,22.322,63.12,22.717,26.22,24.412,364.32,24.989,328.48,25.236,297.97,25.081,113.18,24.301,115.8,22.653,0.406244,0.373641,0.436285,0.550343,0.751584,0.807281,0.774653,0.787812,5,10
2011,SUD,0.39029,0.39029,0.0,0.39029,2,512.9,22.705,32.91,23.149,61.3,23.806,31.12,25.313,361.97,25.849,267.26,26.155,279.81,25.933,114.65,25.225,125.07,23.714,0.472617,0.46459,0.483106,0.540214,0.718054,0.766503,0.791988,0.787186,5,10
2012,CENTRE,0.468376,0.512896,0.032127,2.341881,9,810.2,22.011,38.76,22.168,58.22,24.062,242.9,24.389,78.44,25.117,201.01,25.595,397.45,24.579,247.0,24.092,216.77,22.299,0.514802,0.48068,0.557917,0.616123,0.7027,0.731803,0.748652,0.747315,5,10
2012,EST,0.410083,0.43608,0.018773,2.050415,9,873.4,22.685,38.59,22.735,57.82,24.573,265.83,24.952,88.18,25.696,179.3,26.102,432.76,25.163,299.53,24.671,205.38,23.017,0.538791,0.43973,0.505657,0.585669,0.675388,0.72515,0.756217,0.787383,5,10
2012,NORD,0.410801,0.482955,0.062207,2.054006,9,608.4,22.816,31.07,22.809,45.87,24.639,174.12,25.134,63.53,25.849,160.52,26.276,334.33,25.384,152.07,24.841,136.2,23.265,0.459271,0.404394,0.470668,0.622084,0.683992,0.745455,0.797722,0.796077,5,10
2012,OUEST,0.410773,0.490609,0.075247,2.053864,9,785.6,21.692,36.79,21.831,52.3,23.863,243.07,24.211,63.95,24.924,186.98,25.482,334.91,24.439,164.13,23.968,210.75,22.02,0.426214,0.383533,0.467171,0.607356,0.667169,0.712106,0.800148,0.789019,5,10
2012,SUD,0.453814,0.513331,0.045372,2.26907,9,803.2,22.788,44.36,22.82,57.08,24.747,271.92,25.067,92.54,25.838,149.58,26.239,303.49,25.258,174.55,24.769,218.21,23.071,0.543412,0.451978,0.486702,0.582082,0.668372,0.737443,0.787162,0.789282,5,10
2013,CENTRE,0.537024,0.682304,0.106721,3.759165,10,541.6,21.804,29.69,22.022,80.33,23.631,91.14,24.746,273.97,25.226,486.26,25.337,312.12,24.938,206.35,23.749,61.4,22.389,0.484089,0.496229,0.537776,0.604022,0.71101,0.742651,0.737658,0.733001,5,10
2013,EST,0.474587,0.688499,0.139735,2.847524,9,570.4,22.479,34.46,22.564,77.32,24.188,85.37,25.269,251.11,25.715,534.9,25.919,285.73,25.49,254.64,24.363,52.96,23.015,0.439568,0.450996,0.517499,0.641917,0.734402,0.769067,0.766247,0.75433,5,10
2013,NORD,0.5014,0.708825,0.151352,3.509798,11,445.7,22.603,23.89,22.635,75.31,24.308,74.39,25.416,185.25,25.818,407.76,25.935,188.11,25.658,153.34,24.521,38.77,23.225,0.437769,0.428442,0.504253,0.642763,0.73576,0.790855,0.779405,0.772821,5,10
2013,OUEST,0.493123,0.725668,0.161639,3.451863,11,505.8,21.5,28.74,21.83,80.32,23.44,86.81,24.597,247.88,25.138,456.11,24.91,316.1,24.794,141.32,23.576,66.19,22.141,0.414522,0.413602,0.457011,0.558894,0.733473,0.800824,0.801354,0.780518,5,10
2013,SUD,0.518646,0.697434,0.11103,3.630523,11,477.5,22.615,29.51,22.746,59.25,24.333,103.34,25.371,254.33,25.928,481.49,25.976,244.76,25.609,155.87,24.455,54.95,23.074,0.4885,0.498126,0.530504,0.61141,0.719266,0.782915,0.796237,0.770538,5,10
2014,CENTRE,0.593747,0.755247,0.109494,2.968734,9,726.4,21.918,72.15,22.261,223.62,24.001,70.13,25.207,448.83,25.185,202.14,25.406,239.94,24.828,192.43,23.949,139.78,22.55,0.49878,0.488187,0.589408,0.650908,0.712402,0.716856,0.722862,0.739858,5,10
2014,EST,0.545845,0.707543,0.113849,3.275071,10,780.1,22.627,81.28,22.952,233.2,24.526,65.92,25.825,446.33,25.723,203.0,25.948,269.67,25.396,241.14,24.582,142.66,23.29,0.467377,0.493691,0.604274,0.694664,0.750511,0.767631,0.772438,0.777223,5,10
2014,NORD,0.532373,0.645726,0.103314,3.194241,10,544.5,22.761,50.08,23.031,158.81,24.687,28.01,26.099,344.94,25.802,166.81,26.099,205.08,25.515,140.84,24.711,108.68,23.452,0.411412,0.469998,0.554224,0.676003,0.755894,0.767836,0.773561,0.800558,5,10
2014,OUEST,0.600306,0.728015,0.120971,3.601839,10,606.0,21.543,56.85,21.905,164.3,23.817,49.42,24.95,427.24,24.984,204.4,25.291,200.04,24.699,130.49,23.693,132.82,22.224,0.425314,0.467362,0.589468,0.655878,0.770369,0.777765,0.806794,0.794305,5,10
2014,SUD,0.578515,0.741869,0.101583,3.471092,10,815.0,22.693,94.73,23.057,241.07,24.637,104.93,25.86,413.57,25.913,177.35,26.117,178.18,25.537,148.3,24.673,116.38,23.391,0.522721,0.532621,0.585339,0.635299,0.745584,0.787607,0.793644,0.785369,5,10
